#heuristic2.csv
#
#
#
group,number,graphname,n_vertices,n_edges,duration,studentDfvsLen,studentDfvs,goodDfvsLen
h2,58666,cyc_0030-15.txt,30,430,1000,0,,0
h2,58667,cyc_0030-15.txt,30,430,1200,0,,0
h2,58668,cyc_0030-15.txt,30,430,1000,0,,0
h2,58669,cyc_0030-15.txt,30,430,1000,0,,0
h2,58670,cyc_0030-15.txt,30,430,1200,0,,0
h2,58671,cyc_0030-15.txt,30,430,1300,0,,0
h2,58672,cyc_0030-15.txt,30,430,1100,0,,0
h2,58673,cyc_0030-15.txt,30,430,1000,0,,0
h2,58674,cyc_0030-15.txt,30,430,1000,0,,0
h2,58675,cyc_0030-15.txt,30,430,1100,0,,0
h2,58676,cyc_0030-15.txt,30,430,900,0,,0
h2,58677,cyc_0030-15.txt,30,430,1000,0,,0
h2,58678,cyc_0030-15.txt,30,430,1100,0,,0
h2,58679,cyc_0030-15.txt,30,430,1000,0,,0
h2,58680,cyc_0030-15.txt,30,430,1100,0,,0
h2,58681,cyc_0030-15.txt,30,430,1100,0,,0
h2,58682,cyc_0050-03.txt,50,150,3300,0,,0
h2,58683,cyc_0050-03.txt,50,150,1300,0,,0
h2,58684,cyc_0050-03.txt,50,150,1200,0,,0
h2,58685,cyc_0050-03.txt,50,150,1500,0,,0
h2,58686,cyc_0050-03.txt,50,150,1200,0,,0
h2,58687,cyc_0050-03.txt,50,150,1100,0,,0
h2,58688,cyc_0050-03.txt,50,150,1200,0,,0
h2,58689,cyc_0050-03.txt,50,150,6100,0,,0
h2,58690,cyc_0050-03.txt,50,150,1200,0,,0
h2,58691,cyc_0050-03.txt,50,150,1500,0,,0
h2,58692,cyc_0050-03.txt,50,150,1300,0,,0
h2,58693,cyc_0050-03.txt,50,150,1300,0,,0
h2,58694,cyc_0050-03.txt,50,150,1200,0,,0
h2,58695,cyc_0050-03.txt,50,150,1300,0,,0
h2,58696,cyc_0050-03.txt,50,150,1200,0,,0
h2,58697,cyc_0050-03.txt,50,150,1500,0,,0
h2,58698,cyc_0050-03.txt,50,150,1200,0,,0
h2,58699,cyc_0050-03.txt,50,150,1400,0,,0
h2,58700,cyc_0050-03.txt,50,150,1600,0,,0
h2,58701,cyc_0050-03.txt,50,150,1100,0,,0
h2,58702,cyc_0050-03.txt,50,150,1200,0,,0
h2,58703,cyc_0050-03.txt,50,150,1500,0,,0
h2,58704,cyc_0050-03.txt,50,150,1400,0,,0
h2,58705,cyc_0050-03.txt,50,150,1300,0,,0
h2,58706,cyc_0050-03.txt,50,150,1200,0,,0
h2,58707,cyc_0050-03.txt,50,150,1200,0,,0
h2,58708,cyc_0050-03.txt,50,150,1100,0,,0
h2,58709,cyc_0050-03.txt,50,150,1600,0,,0
h2,58710,cyc_0050-03.txt,50,150,1200,0,,0
h2,58711,cyc_0050-03.txt,50,150,1300,0,,0
h2,58712,cyc_0050-03.txt,50,150,1200,0,,0
h2,58713,cyc_0050-03.txt,50,150,1400,0,,0
h2,58714,cyc_0050-03.txt,50,150,1100,0,,0
h2,58715,cyc_0050-03.txt,50,150,1600,0,,0
h2,58716,cyc_0050-03.txt,50,150,1000,0,,0
h2,58717,cyc_0050-03.txt,50,150,1400,0,,0
h2,58718,cyc_0050-03.txt,50,150,1400,0,,0
h2,58719,cyc_0050-03.txt,50,150,1200,0,,0
h2,58720,cyc_0050-03.txt,50,150,1000,0,,0
h2,58721,cyc_0050-03.txt,50,150,1500,0,,0
h2,58722,cyc_0050-03.txt,50,150,1200,0,,0
h2,58723,cyc_0050-03.txt,50,150,1300,0,,0
h2,58724,cyc_0050-03.txt,50,150,1000,0,,0
h2,58725,cyc_0050-03.txt,50,150,1300,0,,0
h2,58726,cyc_0050-03.txt,50,150,1300,0,,0
h2,58727,cyc_0050-03.txt,50,150,1900,0,,0
h2,58728,cyc_0050-03.txt,50,150,5100,0,,0
h2,58729,cyc_0050-03.txt,50,150,1300,0,,0
h2,58730,cyc_0050-03.txt,50,150,1100,0,,0
h2,58731,cyc_0050-03.txt,50,150,1100,0,,0
h2,58732,cyc_0050-15.txt,50,761,5100,0,,0
h2,58733,cyc_0050-15.txt,50,761,1700,0,,0
h2,58734,cyc_0050-15.txt,50,761,1200,0,,0
h2,58735,cyc_0050-15.txt,50,761,1200,0,,0
h2,58736,cyc_0050-15.txt,50,761,1300,0,,0
h2,58737,cyc_0050-15.txt,50,761,1200,0,,0
h2,58738,cyc_0050-15.txt,50,761,1200,0,,0
h2,58739,cyc_0050-15.txt,50,761,1200,0,,0
h2,58740,cyc_0050-15.txt,50,761,1300,0,,0
h2,58741,cyc_0050-15.txt,50,761,1200,0,,0
h2,58742,cyc_0050-15.txt,50,761,1000,0,,0
h2,58743,cyc_0050-15.txt,50,761,1100,0,,0
h2,58744,cyc_0050-15.txt,50,761,1200,0,,0
h2,58745,cyc_0050-15.txt,50,761,1100,0,,0
h2,58746,cyc_0050-15.txt,50,761,1200,0,,0
h2,58747,cyc_0050-15.txt,50,761,1000,0,,0
h2,58748,cyc_0050-15.txt,50,761,1200,0,,0
h2,58749,cyc_0050-15.txt,50,761,1600,0,,0
h2,58750,cyc_0050-15.txt,50,761,1300,0,,0
h2,58751,cyc_0050-15.txt,50,761,1400,0,,0
h2,58752,cyc_0050-15.txt,50,761,1200,0,,0
h2,58753,cyc_0050-15.txt,50,761,900,0,,0
h2,58754,cyc_0050-15.txt,50,761,1200,0,,0
h2,58755,cyc_0050-15.txt,50,761,1300,0,,0
h2,58756,cyc_0050-15.txt,50,761,1100,0,,0
h2,58757,cyc_0050-15.txt,50,761,1000,0,,0
h2,58758,cyc_0050-15.txt,50,761,1400,0,,0
h2,58759,cyc_0050-15.txt,50,761,1400,0,,0
h2,58760,cyc_0050-15.txt,50,761,1200,0,,0
h2,58761,cyc_0050-15.txt,50,761,1500,0,,0
h2,58762,cyc_0050-15.txt,50,761,1600,0,,0
h2,58763,cyc_0050-15.txt,50,761,1200,0,,0
h2,58764,cyc_0050-15.txt,50,761,1300,0,,0
h2,58765,cyc_0050-15.txt,50,761,1300,0,,0
h2,58766,cyc_0050-15.txt,50,761,1300,0,,0
h2,58767,cyc_0050-15.txt,50,761,1700,0,,0
h2,58768,cyc_0050-15.txt,50,761,1300,0,,0
h2,58769,cyc_0050-15.txt,50,761,1200,0,,0
h2,58770,cyc_0050-15.txt,50,761,1800,0,,0
h2,58771,cyc_0050-15.txt,50,761,15100,0,,0
h2,58772,cyc_0050-15.txt,50,761,1200,0,,0
h2,58773,cyc_0050-15.txt,50,761,1600,0,,0
h2,58774,cyc_0050-15.txt,50,761,1300,0,,0
h2,58775,cyc_0050-15.txt,50,761,1300,0,,0
h2,58776,cyc_0050-15.txt,50,761,1200,0,,0
h2,58777,cyc_0050-15.txt,50,761,1200,0,,0
h2,58778,cyc_0050-15.txt,50,761,1300,0,,0
h2,58779,cyc_0050-15.txt,50,761,1100,0,,0
h2,58780,cyc_0050-15.txt,50,761,1100,0,,0
h2,58781,cyc_0050-15.txt,50,761,1200,0,,0
h2,58782,cyc_0070-03.txt,70,244,4500,0,,0
h2,58783,cyc_0070-03.txt,70,244,1500,0,,0
h2,58784,cyc_0070-03.txt,70,244,1500,0,,0
h2,58785,cyc_0070-03.txt,70,244,15000,0,,0
h2,58786,cyc_0070-03.txt,70,244,1400,0,,0
h2,58787,cyc_0070-03.txt,70,244,1100,0,,0
h2,58788,cyc_0070-03.txt,70,244,1200,0,,0
h2,58789,cyc_0070-03.txt,70,244,1100,0,,0
h2,58790,cyc_0070-03.txt,70,244,1400,0,,0
h2,58791,cyc_0070-03.txt,70,244,1200,0,,0
h2,58792,cyc_0070-03.txt,70,244,900,0,,0
h2,58793,cyc_0070-03.txt,70,244,1200,0,,0
h2,58794,cyc_0070-03.txt,70,244,1400,0,,0
h2,58795,cyc_0070-03.txt,70,244,1300,0,,0
h2,58796,cyc_0070-03.txt,70,244,1000,0,,0
h2,58797,cyc_0070-03.txt,70,244,1300,0,,0
h2,58798,cyc_0070-03.txt,70,244,1200,0,,0
h2,58799,cyc_0070-03.txt,70,244,1000,0,,0
h2,58800,cyc_0070-03.txt,70,244,1300,0,,0
h2,58801,cyc_0070-03.txt,70,244,1300,0,,0
h2,58802,cyc_0070-03.txt,70,244,1100,0,,0
h2,58803,cyc_0070-03.txt,70,244,1200,0,,0
h2,58804,cyc_0070-03.txt,70,244,1400,0,,0
h2,58805,cyc_0070-03.txt,70,244,1000,0,,0
h2,58806,cyc_0070-03.txt,70,244,1200,0,,0
h2,58807,cyc_0070-03.txt,70,244,1200,0,,0
h2,58808,cyc_0070-03.txt,70,244,1100,0,,0
h2,58809,cyc_0070-03.txt,70,244,1100,0,,0
h2,58810,cyc_0070-03.txt,70,244,1300,0,,0
h2,58811,cyc_0070-03.txt,70,244,1200,0,,0
h2,58812,cyc_0070-03.txt,70,244,1800,0,,0
h2,58813,cyc_0070-03.txt,70,244,1200,0,,0
h2,58814,cyc_0070-03.txt,70,244,1200,0,,0
h2,58815,cyc_0070-03.txt,70,244,1500,0,,0
h2,58816,cyc_0070-03.txt,70,244,1200,0,,0
h2,58817,cyc_0070-03.txt,70,244,44600,0,,0
h2,58818,cyc_0070-03.txt,70,244,1900,0,,0
h2,58819,cyc_0070-03.txt,70,244,1300,0,,0
h2,58820,cyc_0070-03.txt,70,244,1200,0,,0
h2,58821,cyc_0070-03.txt,70,244,1600,0,,0
h2,58822,cyc_0070-03.txt,70,244,1500,0,,0
h2,58823,cyc_0070-03.txt,70,244,27600,0,,0
